Company,Founder Name,Role,Twitter Handle,LinkedIn URL,Twitter Followers (Est),LinkedIn Activity,Openness Score (1-10),Public Presence,Content Strategy,Media Appearances,Funding Correlation,Summary
ElevenLabs,Mati Staniszewski,Co-Founder & CEO,@matistanis,linkedin.com/in/matiii,15000+,Very High (16 posts/month),9,"Very Open - Active on Twitter/LinkedIn, frequent media interviews","Product launches, accessibility focus, mission-driven content, founder-led storytelling","Forbes, Sifted, NY Times, Tech podcasts, CES speaker","STRONG - Raised $260M across 3 rounds, now $3.3B valuation. Active founder presence correlated with each funding round.","Ex-Palantir strategist. Highly polished, media-trained public persona. Posts 2-3x/week on LinkedIn (2.33% engagement rate), 6x/week on Twitter. Champions accessibility and ethical AI. Founder visibility was KEY to building community trust during viral growth phase. His 'human-centric AI' messaging directly aligned with investor thesis."
ElevenLabs,Piotr Dąbkowski,Co-Founder & CTO,@piotrdabkowski,linkedin.com/in/piotr-dabkowski-50222bba,5000+,Medium (3-5 posts/month),6,"Moderate - More technical/research focused, less consumer-facing","Technical deep dives, research papers, NeurIPS publications, ML engineering insights",Occasional technical conference speaking,MODERATE - Technical credibility supports fundraising but not primary driver,"Ex-Google ML Engineer. More reserved public presence. Focuses on technical community (ML researchers, engineers). His research credentials (crossing 'human-like AI speech' threshold) provided technical validation for investors. Less social media presence but high credibility in AI research circles."
Cursor,Michael Truell,Co-Founder & CEO,@truellmichael,linkedin.com/in/michaeltruell,35000+,High (8-12 posts/month),8,"Very Open - Active Twitter presence, public intellectual positioning","AI coding philosophy, product updates, AGI thoughts, developer tools, 'vibe coding' discourse","CNBC, TechCrunch, developer podcasts, recent viral moment with 'vibe coding' warning","VERY STRONG - Went from $8M seed to $29.3B valuation in 2 years, now billionaire at 25. Founder-led growth strategy central to dev community adoption.","MIT dropout at 22, created programming game at 14. Extremely technical and product-focused. His public warnings against 'vibe coding' went viral (Dec 2024), demonstrating thought leadership. Strong developer community engagement. Positioning as 'responsible AI coding' leader differentiated Cursor from GitHub Copilot. Personal brand = product brand in dev tools space."
Cursor,Sualeh Asif,Co-Founder,@SualehAsif,linkedin.com/in/sualeh-asif,3000+,Low (1-2 posts/month),4,"Low Profile - Minimal public presence, product-focused",Occasional product updates and technical posts,Rare,MODERATE - Technical co-founder role more backend,"MIT grad, Pakistani immigrant background. Technical depth but low public profile. Classic 'technical co-founder' archetype - builds product while CEO handles public narrative."
Cursor,Arvid Lunnemark,Former Co-Founder & CTO,,linkedin.com/in/arvid-lunnemark,2000+,Very Low,3,"Very Low - Left company Oct 2025 to found AI safety startup",Technical posts when active at Cursor,None notable,LOW - Left company in 2025,"Left Cursor in Oct 2025 to found Integrous Research (AI safety). Young (26) but recognized need for AI safety focus. Quiet public presence even during Cursor's peak growth."
Cursor,Aman Sanger,Co-Founder,,linkedin.com/in/aman-sanger,2000+,Low,4,Low Profile - Minimal public engagement,Rare technical posts,None,LOW - Product/eng focused,"MIT grad, Neo scholar. Minimal public presence. Part of technical founding team but not public-facing."
Hippocratic AI,Munjal Shah,Co-Founder & CEO,@munjal,linkedin.com/in/munjalshah747,25000+,Very High (20+ posts/month),10,"Extremely Open - Serial entrepreneur, prolific content creator, active angel investor","Healthcare AI, safety-first approach, empathy in AI, patient outcomes, industry thought leadership","Forbes, CNBC, CES keynote, NYSE 'The Cure(ious)' series, healthcare podcasts, Slush conference","VERY STRONG - Raised $278M total. His healthcare credibility (prev founded Health IQ) was critical to de-risking AI healthcare thesis for investors.","Serial entrepreneur (4th startup), ex-Health IQ CEO (10 years), angel investor in 42 companies. Stanford CS + AI focus. Extremely polished communicator. His previous healthcare AI exit gave him credibility that enabled $50M Series A before product launch. Active on both Twitter and LinkedIn. Positions as 'AI for good' leader in healthcare. His network (investors, healthcare execs) was instrumental in early partnerships."
Applied Intuition,Qasar Younis,Co-Founder & CEO,,linkedin.com/in/qasar,10000+,Medium (4-6 posts/month),5,"Selective - B2B focused, occasional thought leadership","Autonomous vehicles, AI in automotive, scaling B2B companies, founder hiring","Podcast appearances, automotive conferences, limited consumer media","VERY STRONG - Raised $1.2B, now $15B valuation. However, founder visibility played LESS of a role - enterprise sales driven.","Pakistani immigrant, ex-Y Combinator COO, ex-Google Maps PM. Harvard MBA. Deep network in SV through YC. Lower public profile than consumer AI founders but extremely well-connected in enterprise/automotive. His YC background helped with early fundraising. B2B model meant less need for consumer-facing founder brand. His operational expertise (YC COO) was the key credential."
Applied Intuition,Peter Ludwig,Co-Founder & CTO,,linkedin.com/in/peterludwig,5000+,Low (1-2 posts/month),4,"Very Low - Focused on product/engineering, minimal public presence",Rare technical posts about autonomous vehicles,Occasional technical conferences,MODERATE - Technical validation for investors,"Ex-Google engineer, Univ of Michigan MS Engineering. Classic technical co-founder. Builds product while CEO handles business. Minimal social presence but strong technical credentials. Hired many ex-founders into Applied (company culture of entrepreneurship)."
Hedra,Multiple Founders,Co-Founders,@hedra_ai (company),linkedin.com/company/hedra,Unknown,Unknown,3,"Very Stealth - Limited founder public presence, newer company (2024)","Focus on product (AI video generation), limited founder visibility","Limited - company still in early/stealth mode",MODERATE - Raised funding but founder visibility very low,"Newer company, founded 2024. Founders not publicly prominent yet. Company Twitter exists but individual founder presence minimal. Typical stealth-mode AI startup pattern."
Cluely,Unknown Founders,,@cluely_ai (company),linkedin.com/company/cluely,Unknown,Unknown,2,"Very Stealth - No prominent founder public presence identified","Company-level social media only, no individual founder visibility",None identified,UNKNOWN - Limited public funding info,"Could not identify prominent individual founders in public sources. Company maintains social presence but founder-led growth strategy not evident. May be bootstrapped or very early stage."
OpenRouter,Unknown Founders,,@OpenRouterAI (company),linkedin.com/company/openrouter,Unknown,Unknown,3,"Low - Limited founder visibility, infrastructure play","Technical/developer-focused content, API platform updates",Limited,UNKNOWN - Infrastructure/API play,"Infrastructure company (LLM routing). Founders not publicly prominent. Typical for dev infra companies - product sells itself to technical audience. Less need for founder-led marketing."
Thinking Machines,Stephanie Sy & Team,Founder/Leadership,,linkedin.com/company/thinkingmachines,Unknown,Low,4,"Low - Philippines-based, regional focus, limited US media presence","Data science, geospatial AI, social impact, emerging markets",Regional conferences in Southeast Asia,MODERATE - Regional player,"Philippines-based data science company. Founder Stephanie Sy less visible in US tech media. Strong regional presence in SEA. Different playbook - more about local impact and government partnerships than Silicon Valley-style founder celebrity."
EarnBetter,Unknown Founders,,@earnbetter (company),linkedin.com/company/earnbetter,Unknown,Unknown,3,"Low - Job search AI tool, limited founder visibility",Job search tips and AI resume tools,Limited,UNKNOWN,"Consumer job search tool. Founders not prominent in public sphere. Product-led growth strategy rather than founder-led. Competitive space (job search) where product quality matters more than founder brand."
Ambience Healthcare,Mike Ng & Nikhil Buduma,Co-Founders,,linkedin.com/company/ambience-healthcare,Unknown,Low-Medium,5,"Moderate - Healthcare AI focus, some media but not as prominent as Hippocratic","Clinical AI, ambient documentation, physician burnout solutions","Some healthcare tech media, medical conferences",MODERATE-STRONG - Healthcare AI space is hot,"Healthcare AI for clinical documentation. Founders have medical/AI backgrounds. Less public than Munjal Shah but building credibility in healthcare AI space. More product-focused than founder-celebrity focused."
