Company Name,Announced Date,Transaction Name,Number of Investors,Money Raised,Lead Investors,Funding Type
ElevenLabs,2025-11-11,Funding Round - ElevenLabs,1,,Matthew McConaughey,Funding Round
ElevenLabs,2025-09-23,Corporate Round - ElevenLabs,1,,NVIDIA,Corporate Round
ElevenLabs,2025-01-24,Series C - ElevenLabs,20,$180M,"Andreessen Horowitz, ICONIQ Growth",Series C
ElevenLabs,2024-02-21,Non Equity Assistance - ElevenLabs,1,,Disney Accelerator,Non-equity Assistance
ElevenLabs,2024-01-22,Series B - ElevenLabs,8,$80M,"Andreessen Horowitz, Daniel Gross, Nat Friedman",Series B
ElevenLabs,2023-06-20,Series A - ElevenLabs,20,$19M,"Andreessen Horowitz, Daniel Gross, Nat Friedman",Series A
ElevenLabs,2023-01-22,Pre Seed Round - ElevenLabs,3,$2M,Credo Ventures,Pre-Seed
Applied Intuition,2025-06-17,Series F - Applied Intuition,20,$600M,"BlackRock, Kleiner Perkins",Series F
Applied Intuition,2024-07-25,Secondary Market - Applied Intuition,6,$300M,,Secondary Market
Applied Intuition,2024-03-11,Series E - Applied Intuition,13,$250M,"Lux Capital, Porsche Investments Management",Series E
Applied Intuition,2021-11-11,Series D - Applied Intuition,7,$175M,"Addition, Coatue, Elad Gil",Series D
Applied Intuition,2020-10-22,Series C - Applied Intuition,4,$125M,"Andreessen Horowitz, General Catalyst, Lux Capital",Series C
Applied Intuition,2019-09-12,Series B - Applied Intuition,13,$40M,General Catalyst,Series B
Applied Intuition,2018-09-12,Series A - Applied Intuition,12,$11.5M,"Andreessen Horowitz, Floodgate",Series A
Applied Intuition,2017-09-05,Series A - Applied Intuition,5,,,Series A
Ambience,2025-07-29,Series C - Ambience Healthcare,10,$243M,"Andreessen Horowitz, Oak HC/FT",Series C
Ambience,2024-02-06,Series B - Ambience Healthcare,5,$70M,"Kleiner Perkins, OpenAI Startup Fund",Series B
Ambience,2022-04-25,Series A - Ambience Healthcare,1,,,Series A
Ambience,2020-09-11,Seed Round - Ambience Healthcare,,$6.3M,,Seed
Cluely AI,2025-06-20,Series A - Cluely,3,$15M,Andreessen Horowitz,Series A
Cluely AI,2025-04-21,Seed Round - Cluely,3,$5.3M,"Abstract, Susa Ventures",Seed
OpenRouter,2025-06-25,Series A - OpenRouter,4,$40M,"Andreessen Horowitz, Menlo Ventures",Series A
OpenRouter,2025-06-25,Seed Round - OpenRouter,,,,Seed
Thinking Machines,2025-06-20,Seed Round - Thinking Machines Lab,11,$2B,Andreessen Horowitz,Seed
Thinking Machines,2025-05-05,Grant - Thinking Machines Lab,1,€8.8M,Ministry of Economy Culture and Innovation,Grant
Hippocratic AI,2025-11-03,Series C - Hippocratic AI,11,$126M,Avenir,Series C
Hippocratic AI,2025-01-09,Series B - Hippocratic AI,8,$141M,Kleiner Perkins,Series B
Hippocratic AI,2024-09-19,Series A - Hippocratic AI,4,$17M,NVentures,Series A
Hippocratic AI,2024-03-18,Series A - Hippocratic AI,8,$53M,"General Catalyst, Premji Invest",Series A
Hippocratic AI,2023-07-25,Seed Round - Hippocratic AI,,$15M,,Seed
Hippocratic AI,2023-05-16,Seed Round - Hippocratic AI,2,$50M,"Andreessen Horowitz, General Catalyst",Seed
Hedra AI,2025-10-08,Non Equity Assistance - Hedra,1,$1M,Amazon Web Services,Non-equity Assistance
Hedra AI,2025-05-15,Series A - Hedra,4,$32M,Andreessen Horowitz,Series A
Hedra AI,2024-08-01,Seed Round - Hedra,12,$10M,"A16Z GAMES Speedrun, Abstract, Index Ventures",Seed
EarnBetter,2023-11-08,Seed Round - EarnBetter,7,$4.5M,"Abstract, Andreessen Horowitz",Seed
Cursor,2025-11-01,Series D - Cursor,7,$2.3B,"Thrive, Andreessen Horowitz, Accel, DST, Nvidia, Google",Series D
Cursor,2025-06-01,Series C - Cursor,3,$900M,,Series C
